date,away,away_score,home_score,home
2017/8/4,삼성,4,3,NC
2017/8/4,넥센,8,10,롯데
2017/8/4,두산,11,4,LG
2017/8/4,SK,6,5,kt
2017/8/5,KIA,7,1,한화
2017/8/5,삼성,9,3,NC
2017/8/5,넥센,4,5,롯데
2017/8/5,두산,2,1,LG
2017/8/5,SK,3,4,kt
2017/8/6,삼성,1,4,NC
2017/8/6,넥센,4,6,롯데
2017/8/6,두산,10,3,LG
2017/8/6,SK,3,6,kt
2017/8/8,LG,10,8,삼성
2017/8/8,kt,4,5,롯데
2017/8/8,NC,0,4,SK
2017/8/8,한화,1,8,두산
2017/8/8,넥센,5,3,KIA
2017/8/9,LG,4,7,삼성
2017/8/9,kt,6,7,롯데
2017/8/9,NC,10,5,SK
2017/8/9,한화,12,6,두산
2017/8/9,넥센,1,10,KIA
2017/8/10,두산,7,4,넥센
2017/8/10,롯데,2,3,NC
2017/8/10,SK,2,1,LG
2017/8/11,두산,3,6,넥센
2017/8/11,삼성,3,8,한화
2017/8/11,롯데,5,3,NC
2017/8/11,SK,2,6,LG
2017/8/11,KIA,8,9,kt
2017/8/12,한화,6,1,넥센
2017/8/12,롯데,7,13,삼성
2017/8/12,kt,3,8,SK
2017/8/12,NC,0,3,두산
2017/8/12,LG,10,11,KIA
2017/8/13,한화,1,9,넥센
2017/8/13,롯데,9,7,삼성
2017/8/13,kt,11,3,SK
2017/8/13,NC,1,2,두산
2017/8/15,두산,6,8,롯데
2017/8/15,NC,2,4,KIA
2017/8/16,SK,5,8,한화
2017/8/16,넥센,6,5,삼성
2017/8/16,두산,2,4,롯데
2017/8/16,kt,1,2,LG
2017/8/16,NC,3,4,KIA
2017/8/17,롯데,5,3,넥센
2017/8/17,한화,1,3,NC
2017/8/17,LG,1,6,SK
2017/8/17,KIA,1,4,두산
2017/8/17,삼성,6,4,kt
2017/8/18,롯데,8,5,넥센
2017/8/18,한화,14,9,NC
2017/8/18,LG,2,8,SK
2017/8/18,KIA,1,2,두산
2017/8/18,삼성,5,1,kt
2017/8/19,NC,3,4,넥센
2017/8/19,롯데,0,2,한화
2017/8/19,삼성,4,6,LG
2017/8/19,SK,13,1,KIA
2017/8/19,두산,10,4,kt
2017/8/20,NC,4,3,넥센
2017/8/20,롯데,4,3,한화
2017/8/20,두산,1,2,kt
2017/8/22,삼성,5,11,넥센
2017/8/22,두산,10,6,SK
2017/8/22,NC,4,3,LG
2017/8/22,롯데,7,3,KIA
2017/8/22,한화,3,2,kt
2017/8/23,삼성,1,5,넥센
2017/8/23,두산,4,1,SK
2017/8/23,NC,3,9,LG
2017/8/23,롯데,7,5,KIA
2017/8/23,한화,10,9,kt
2017/8/24,SK,9,7,삼성
2017/8/24,kt,1,7,NC
2017/8/24,LG,0,11,롯데
2017/8/24,넥센,5,6,두산
2017/8/25,KIA,3,6,한화
2017/8/25,SK,7,5,삼성
2017/8/25,kt,5,7,NC
2017/8/25,LG,2,8,롯데
2017/8/25,넥센,3,4,두산
2017/8/26,kt,8,14,삼성
2017/8/26,KIA,8,7,NC
2017/8/26,넥센,1,6,롯데
2017/8/26,한화,1,2,SK
2017/8/26,LG,4,5,두산
2017/8/27,kt,3,2,삼성
2017/8/27,KIA,4,5,NC
